"","caseid","birthyr","gender","educ","race","CC19_308a","CC19_322a","CC19_322b","CC19_322c","CC19_322d","CC19_322e","CC19_343a","CC19_343b","CC19_343c","CC19_343d","pid3","inputstate"
"1",1028709891,1958,"1","2","3",1,1,1,1,2,1,5,2,3,2,"2","48"
"2",1028709893,1951,"1","6","1",4,1,1,2,1,1,1,5,3,4,"1","39"
"3",1028407821,1968,"2","5","1",4,1,2,2,1,2,2,5,2,2,"1","39"
"4",1028709805,1945,"2","5","1",4,1,2,1,1,2,2,4,3,3,"3","48"
"5",1028458001,1971,"1","5","1",1,2,1,2,1,1,4,3,2,4,"2","21"
"6",1028710915,1973,"2","4","6",4,2,2,1,1,1,2,3,3,3,"3","12"
"7",1028709915,1956,"2","3","1",4,1,2,2,1,2,1,5,5,5,"1","13"
"8",1028709941,1960,"1","6","1",2,2,1,2,1,1,3,3,3,4,"2","42"
"9",1028710455,1950,"2","5","1",1,1,1,1,1,1,5,5,4,2,"2","26"
"10",1028710973,1987,"1","6","4",1,2,2,1,2,2,1,5,5,2,"1","26"
"11",1028709955,1963,"2","5","1",4,1,2,2,1,1,2,4,3,2,"3","37"
"12",1028235335,1984,"1","6","1",4,1,2,2,1,2,1,5,3,2,"1","18"
"13",1028709963,1978,"2","6","1",4,1,2,2,1,2,1,5,5,1,"1","9"
"14",1028710415,1970,"2","5","2",4,1,2,2,1,2,1,5,3,3,"3","6"
"15",1028363707,1972,"2","5","1",1,2,1,2,2,1,5,1,3,4,"2","46"
"16",1028711013,1980,"1","6","1",4,1,2,2,2,1,2,3,4,3,"3","12"
"17",1028711015,1989,"1","5","1",4,1,1,1,1,1,1,2,2,2,"3","36"
"18",1028712117,1987,"2","6","1",1,1,2,1,2,1,1,1,1,1,"2","6"
"19",1028710001,1954,"2","6","1",4,1,2,2,1,2,1,5,3,2,"1","39"
"20",1028711549,1966,"1","5","3",4,1,2,2,1,2,1,5,5,1,"4","56"
