"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Have you Shared It?⁉️🤝 our research from nature food on steep slope agricultural systems 🌽🍀is free to read. check h… https://t.co/JF7CzTAfhJ",FALSE,0,NA,2022-03-17 14:51:06,TRUE,NA,"1504470386922049542",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EarthSurfS",0,FALSE,FALSE,NA,NA
"2","NEWS | The @IACHumanRights adopted a resolution recognizing #ClimateChange as a human rights emergency. This system… https://t.co/ndj6MzRJWa",FALSE,0,NA,2022-03-17 14:51:03,TRUE,NA,"1504470375421280269",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","KsapaOrg",0,FALSE,FALSE,NA,NA
"3","RT @SmartCityexpo: 💎We uncovered this gem of interview by @xataka made at #SCEWC21 of @johnpaulfarmer, @NYC_CTO

➡️What's the day-to-day of…",FALSE,0,NA,2022-03-17 14:51:02,FALSE,NA,"1504470370018947092",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johnpaulfarmer",3,TRUE,FALSE,NA,NA
"4","Europe is moving ahead with a carbon border adjustment mechanism. The US needs to get on the train and enact a… https://t.co/pvDCFc9b1h",FALSE,0,NA,2022-03-17 14:50:54,TRUE,NA,"1504470335868981265",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","citizensclimate",0,FALSE,FALSE,NA,NA
"5","RT @groulx_lynne: The Climate Atlas of Canada has been updated to include #ClimateChange projections in Indigenous communities on their int…",FALSE,0,NA,2022-03-17 14:50:45,FALSE,NA,"1504470300271919117",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SarahLawrynuik",1,TRUE,FALSE,NA,NA
"6","RT @_GlobalCrisis_: Mammoths are extinct not due to #CO2 or hunters but to a drastic #climatechange?
It's time to fight the real enemy of #…",FALSE,0,NA,2022-03-17 14:50:45,FALSE,NA,"1504470297579167747",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Beatric54184322",22,TRUE,FALSE,NA,NA
"7","RT @WomensRightsTW: People around the world get together for Climate Leader's Seminar! In the event, we'll show you the commitment and acti…",FALSE,0,NA,2022-03-17 14:50:14,FALSE,NA,"1504470166435819524",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sevenheartsm",5,TRUE,FALSE,NA,NA
"8","The Climate Atlas of Canada has been updated to include #ClimateChange projections in Indigenous communities on the… https://t.co/srILeydfwi",FALSE,1,NA,2022-03-17 14:50:04,TRUE,NA,"1504470128255143943",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","groulx_lynne",1,FALSE,FALSE,NA,NA
"9","RT @GB_Survival: Why Prepare Now? Because It's Too Late After A Disaster Strikes  https://t.co/5fLuSNbM67 via @SlideShare #disasters #Emerg…",FALSE,0,NA,2022-03-17 14:49:53,FALSE,NA,"1504470081614491663",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","agnosticism68",2,TRUE,FALSE,NA,NA
"10","RT @UCDavisPlants: Congrats to Leslie Roche @UCDRange after being elected to the board of the #SocietyforRangeManagement. Her goal: Seek #s…",FALSE,0,NA,2022-03-17 14:49:50,FALSE,NA,"1504470067433525253",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rangelands",13,TRUE,FALSE,NA,NA
