tender_id;ca_contract_value;singleb;marketid;year;new_nuts;country;market_id_name
CZ_00004443fcb4df675d3a00db1969a4ab4a8c98eb9a72a9e003aa943a02ab8115_1;1608460;1;;2009;CZ03;CZ;
CZ_0002975bc89ba276fe9f698c18f90a39d194b83c29f2f265d51a2d57f72640ac_1;49580226;0;;2017;CZ06;CZ;
CZ_0006cd08e887f0e416f3b79b2532562a4648ce7ad1d0d9b5a87599a3f8d7d9d6_1;8195180;0;;2012;CZ05;CZ;
CZ_0008d2e8608ebcbc5495541e61a837f498fa3c4be43c2c3ecf340decfd564507_1;339500;0;48;2015;CZ06;CZ;Software package and information systems
CZ_00098882e7f18d7b2d1e858995c41ad8bc2238a979400eb5d548d9acf22dcc1a_1;1919000;0;33;2017;CZ01;CZ;Medical equipments, pharmaceuticals 
CZ_000beb97b7512fc8c67d393d1fa60b21f89b6b40a474bae4db6f122ca9e17611_1;3155523;0;;2008;CZ05;CZ;
CZ_000c7cb4f947aa68cbb241ea616d3d3ce0459b66ba884f6b6077194f505a0cd5_1;193500;0;34;2014;CZ04;CZ;Transport equipment and auxiliary products
CZ_000c7cb4f947aa68cbb241ea616d3d3ce0459b66ba884f6b6077194f505a0cd5_1;79900;0;34;2014;CZ04;CZ;Transport equipment and auxiliary products
CZ_000c7cb4f947aa68cbb241ea616d3d3ce0459b66ba884f6b6077194f505a0cd5_1;1034100;0;34;2014;CZ04;CZ;Transport equipment and auxiliary products
CZ_000c7cb4f947aa68cbb241ea616d3d3ce0459b66ba884f6b6077194f505a0cd5_1;1394000;0;34;2014;CZ04;CZ;Transport equipment and auxiliary products
CZ_001020bc749e0d3b9d299968e4f82864d9ad48a23429bb38dffa881ad6dcc90e_1;9223366;0;45234;2015;CZ01;CZ;Construction work for railways and cable transport
CZ_0010ea6e97fb1dec1d1ce2e68be0404efbcce6ad3756b90acd08ed7cc64ebadf_1;599000;0;;2011;CZ07;CZ;
CZ_00135eda3c4eb46565f660432dec9395b083666a180453ce9748ac0f54e6d98c_1;9562376;0;45233;2014;CZ08;CZ;Construction, foundation and surface works for highways
CZ_0013627535e3d4fda6d427065663300d98e3003528253692fe25d2ff9c43cec1_1;6600055;0;;2006;CZ05;CZ;
CZ_001531abae7e1459faaa5e861abf12d5244fa8d54f32228648972b019fb7dc25_1;4199600;0;;2012;CZ05;CZ;
CZ_0015ffbfe2d0f6245412ed502f531e6ef0e46f051b6a7ee2db712ca8810fcb37_1;2999130;0;4521;2013;CZ07;CZ;Building construction work
CZ_00189c0512299a9add693e0ceef1bc8f8f9f461b5c0a10a86eda103a69ce5485_1;11577444;0;;2012;CZ01;CZ;
CZ_001af02f8592bfda7411a404184d51321344eaf114e6248067c833d06be6fb64_1;19837;1;45233;2016;CZ02;CZ;Construction, foundation and surface works for highways
CZ_001d9071f00993f85eec811375176b0965d2c2b69ee3d3497cd5bbb18aa9f870_1;992120;0;38;2014;CZ06;CZ;Laboratory, optical and precision equipment
CZ_001d9071f00993f85eec811375176b0965d2c2b69ee3d3497cd5bbb18aa9f870_1;847945;0;38;2014;CZ06;CZ;Laboratory, optical and precision equipment
CZ_001d9071f00993f85eec811375176b0965d2c2b69ee3d3497cd5bbb18aa9f870_1;733575;0;38;2014;CZ06;CZ;Laboratory, optical and precision equipment
CZ_002169d3977e451b508dd9dc8cb57fb27bdfb4ed238ae89aeae63aa3ff618902_1;15515248;1;;2010;CZ04;CZ;
CZ_00292595960f09b6dbf097bd8ad5ccd3b8ef8728cea133d6f4561e1331f22c6a_1;2841427;0;45233;2017;CZ08;CZ;Construction, foundation and surface works for highways
CZ_0029beb42d5070179ffd5c933161dd387ef729e0c489aa756cb344c731473dd7_1;4844322;0;4521;2014;CZ06;CZ;Building construction work
CZ_002cc9bc883e80150540014ebf7a2f7edf38ddc65bf9a337412b2a77bf929dbf_1;36266655;0;;2010;CZ05;CZ;
CZ_0031972cd6e9fdcfb8e81255a2e5f66e6a9652945f3e4533a40b860ea7df394f_1;7286554;0;;2008;CZ07;CZ;
