"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @DanielTurnerPTF: The man who ran for president on shutting down American energy to combat climate change is currently at his beach hous…",FALSE,0,NA,2022-02-26 18:57:31,FALSE,NA,"1497647028104568835",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LewisDianna",602,TRUE,FALSE,NA,NA
"2","@johnredwood @jhendricks2301 There’s nothing Britain can do to influence man made climate change. China Russia Afri… https://t.co/BOurZjusVz",FALSE,0,"johnredwood",2022-02-26 18:57:30,TRUE,"1497465521771536387","1497647027437518848","93880122","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RupertScott21",0,FALSE,FALSE,NA,NA
"3","RT @DanielTurnerPTF: The man who ran for president on shutting down American energy to combat climate change is currently at his beach hous…",FALSE,0,NA,2022-02-26 18:57:30,FALSE,NA,"1497647024270835715",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mfb912",602,TRUE,FALSE,NA,NA
"4","RT @matthewjdowd: I wrote this Thursday.  We are all interconnected and the universe keeps reminding us of this. From a global pandemic to…",FALSE,0,NA,2022-02-26 18:57:27,FALSE,NA,"1497647011947974661",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jo8cakelegend",15,TRUE,FALSE,NA,NA
"5","RT @matthewjdowd: I wrote this Thursday.  We are all interconnected and the universe keeps reminding us of this. From a global pandemic to…",FALSE,0,NA,2022-02-26 18:57:27,FALSE,NA,"1497647011788587010",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mrs_B_2021",15,TRUE,FALSE,NA,NA
"6","RT @AllanaG13: Imagine being 10yrs old today.  
You move from climate change activism to a pandemic bringing isolation &amp; death to seeing in…",FALSE,0,NA,2022-02-26 18:57:25,FALSE,NA,"1497647003123257345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farihahalam",24,TRUE,FALSE,NA,NA
"7","RT @DanielTurnerPTF: The man who ran for president on shutting down American energy to combat climate change is currently at his beach hous…",FALSE,0,NA,2022-02-26 18:57:22,FALSE,NA,"1497646991777550337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SleepyBubba",602,TRUE,FALSE,NA,NA
"8","RT @DanielTurnerPTF: The man who ran for president on shutting down American energy to combat climate change is currently at his beach hous…",FALSE,0,NA,2022-02-26 18:57:18,FALSE,NA,"1497646975264641025",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PolAgnostic",602,TRUE,FALSE,NA,NA
"9","RT @DanielTurnerPTF: The man who ran for president on shutting down American energy to combat climate change is currently at his beach hous…",FALSE,0,NA,2022-02-26 18:57:18,FALSE,NA,"1497646974765604874",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CisPeoplekind",602,TRUE,FALSE,NA,NA
"10","RT @ACarole: @jcslattery Texas denies Climate Change,etc and threatens to leave the Union. But each time, which has become a regular event…",FALSE,0,NA,2022-02-26 18:57:14,FALSE,NA,"1497646957313073168",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jenniferhov",197,TRUE,FALSE,NA,NA
"11","@GretaThunberg what happens when energy is needed by EU countries now, &amp; they only get enough of it from Russia ? W… https://t.co/AW0lDMz5rw",FALSE,0,"GretaThunberg",2022-02-26 18:57:08,TRUE,NA,"1497646931631247360","1006419421244678144","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edrea20",0,FALSE,FALSE,NA,NA
"12","RT @matthewjdowd: I wrote this Thursday.  We are all interconnected and the universe keeps reminding us of this. From a global pandemic to…",FALSE,0,NA,2022-02-26 18:57:07,FALSE,NA,"1497646927420305412",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jremmc",15,TRUE,FALSE,NA,NA
"13","@PreetBharara @KimberlyMarten Climate change would never be finished as a fews countries keep wasting natural resou… https://t.co/8YAXUG0EkS",FALSE,0,"PreetBharara",2022-02-26 18:57:06,TRUE,"1497586584027336708","1497646924454789122","834081571493785600","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rockisl89745646",0,FALSE,FALSE,NA,NA
"14","@xriskology @curaffairs Either way, the damage may already have been done, given that averting “untold suffering” f… https://t.co/WiehvDyGUv",FALSE,0,"ESpacewalk",2022-02-26 18:57:05,TRUE,"1497646723564511232","1497646921359503371","1136697983813136384","<a href=""https://hypefury.com"" rel=""nofollow"">Hypefury</a>","ESpacewalk",0,FALSE,FALSE,NA,NA
"15","RT @JiminGlobal: Digital Journal reported:

""Jimin, a member of the famed K-pop group BTS, is the most adored idol for the year 2021, as he…",FALSE,0,NA,2022-02-26 18:57:00,FALSE,NA,"1497646899947466753",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Notthesame777",72,TRUE,FALSE,NA,NA
"16","@richardastonson @MandyHager @GroundswellNz I note you have pointedly ignored &amp; failed to condemn elements of the o… https://t.co/4wu7zSu9ND",FALSE,0,"richardastonson",2022-02-26 18:56:57,TRUE,"1497478672839688195","1497646888606384128","1198315326884040704","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fmacskasy",0,FALSE,FALSE,NA,NA
"17","Fight Russia - and climate change - by quickly ramping up use of renewables. https://t.co/ypJgtVpMWE",FALSE,0,NA,2022-02-26 18:56:52,FALSE,NA,"1497646866611245056",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bothoren",0,FALSE,FALSE,NA,NA
"18","RT @DKWpublichealth: Check out session on Birth Outcomes Climate Change @PublicHealth @apha_mch @APHAEnvironment @EH_4_ALL @UCSUSA @NHPHA h…",FALSE,0,NA,2022-02-26 18:56:45,FALSE,NA,"1497646838387822604",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NCheakZamora",2,TRUE,FALSE,NA,NA
