"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LeeSmithDC: Check out excellent comments from Saudis calling out this obscene clown blaming Riyadh for Obama-Biden faction policy to st…",FALSE,0,NA,2022-02-26 18:27:39,FALSE,NA,"1497639512515747846",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PlaysTrumpCard",80,TRUE,FALSE,NA,NA
"2","@schuh_dan @HCChristopher @MollyJongFast Crowley was on NBC yesterday spewing nonsense about how the green new deal… https://t.co/9HFOvp4329",FALSE,0,"schuh_dan",2022-02-26 18:27:20,TRUE,"1497636977176461315","1497639433633423366","1033472043914866688","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mortenbc58",0,FALSE,FALSE,NA,NA
"3","@ninaturner So tru,but alot of pple are at their highest level of unreason-ability; trying to reason so every1 bene… https://t.co/Ncr55p3WFb",FALSE,0,"ninaturner",2022-02-26 18:27:15,TRUE,"1497598540113186824","1497639413010120709","188793260","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mikiarobert",0,FALSE,FALSE,NA,NA
"4","RT @Hrdrockindude: I went to Walmart yesterday, spent $77 on stuff that was carried in with one trip. This is what the green new deal looks…",FALSE,0,NA,2022-02-26 18:25:47,FALSE,NA,"1497639045781856257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","noxa_nonne",7,TRUE,FALSE,NA,NA
"5","RT @DNovickis: SO MUCH FOR THAT DAMM GREEN NEW DEAL !
DUMMASS SOCIALIST",FALSE,0,NA,2022-02-26 18:23:56,FALSE,NA,"1497638577861238784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NovickisRobert",1,TRUE,FALSE,NA,NA
"6","RT @ninaturner: It’s time for a Green New Deal.",FALSE,0,NA,2022-02-26 18:23:07,FALSE,NA,"1497638373888045059",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KiiNGxDelson",98,TRUE,FALSE,NA,NA
"7","@JudiciaryGOP Glad to see you support the Green New Deal!",FALSE,0,"JudiciaryGOP",2022-02-26 18:22:56,FALSE,"1497568665327345670","1497638325318037505","1131917492","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LiberalWombat",0,FALSE,FALSE,NA,NA
"8","RT @samanthamarika1: Does the “Green New Deal”  people realize that if they don’t release their hold on our energy independence, there will…",FALSE,0,NA,2022-02-26 18:22:53,FALSE,NA,"1497638312189644800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SilverL42851947",122,TRUE,FALSE,NA,NA
"9","@StephMi82340326 @MeghanMcCain His green new deal?😂😂😂 I wish Biden were that progressive",FALSE,0,"StephMi82340326",2022-02-26 18:20:57,FALSE,"1497564446314713092","1497637828292927489","1433860415767908354","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emo72387",0,FALSE,FALSE,NA,NA
"10","RT @ninaturner: It’s time for a Green New Deal.",FALSE,0,NA,2022-02-26 18:20:54,FALSE,NA,"1497637814963302401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carinatelias",98,TRUE,FALSE,NA,NA
"11","RT @nick_etten: O'Reilly Calls For Hiatus From Green New Deal In The Face Of Possible Wo... https://t.co/srtPSE84V4 via @YouTube

#GreenNew…",FALSE,0,NA,2022-02-26 18:20:29,FALSE,NA,"1497637710923714562",NA,"<a href=""https://www.libellulafilm.de"" rel=""nofollow"">Green New Deal RT</a>","GreenNewDeal_EU",1,TRUE,FALSE,NA,NA
"12","RT @Pro_Libertad: This should signal to everyone that the Green New Deal is dead. That kind of thinking is what makes the current war more…",FALSE,0,NA,2022-02-26 18:20:20,FALSE,NA,"1497637672159952905",NA,"<a href=""https://www.libellulafilm.de"" rel=""nofollow"">Green New Deal RT</a>","GreenNewDeal_EU",1,TRUE,FALSE,NA,NA
"13","RT @ninaturner: It’s time for a Green New Deal.",FALSE,0,NA,2022-02-26 18:20:17,FALSE,NA,"1497637657702064128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ed53756298",98,TRUE,FALSE,NA,NA
"14","RT @BirkbeckUnion: 2 EVENTS 👫 2 MARCH⚔️

BBK Green New Deal, Petition hand in🌳🌍🤝
https://t.co/tI1TFOxJ3e

NUS Student Strike for Education:…",FALSE,0,NA,2022-02-26 18:19:59,FALSE,NA,"1497637586055086088",NA,"<a href=""https://www.libellulafilm.de"" rel=""nofollow"">Green New Deal RT</a>","GreenNewDeal_EU",3,TRUE,FALSE,NA,NA
"15","RT @LisaMoMentor2: Why is @GOPChairwoman @GOPLeader @LeaderMcConnell allowing Democrats to implement their Green New Deal through Executive…",FALSE,0,NA,2022-02-26 18:19:53,FALSE,NA,"1497637559651942406",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HelenaC65492743",14,TRUE,FALSE,NA,NA
